[1] "Ro—Í\\20170409_Umahuku14_29_KISOfittedmat215.txt"
[1] "<-----------0‚©‚ç‚P‚Ü‚Å"
      [,1] [,2] [,3]      [,4]   [,5]        [,6]
 [1,]    1    0    2 0.0000000  -2800 -1400.00000
 [2,]    2   21   54 0.3888889  43430   804.25926
 [3,]    3   32  106 0.3018868  17220   162.45283
 [4,]    4   26   93 0.2795699   3140    33.76344
 [5,]    5   32  121 0.2644628  -4290   -35.45455
 [6,]    6   28  115 0.2434783 -17540  -152.52174
 [7,]    7   26  103 0.2524272 -19020  -184.66019
 [8,]    8   30   82 0.3658537  46660   569.02439
 [9,]    9   30   89 0.3370787  47650   535.39326
[10,]   10   24   70 0.3428571  42040   600.57143
[11,]   11   20   56 0.3571429  37150   663.39286
[12,]   12   22   56 0.3928571  41020   732.50000
[13,]   13    9   18 0.5000000  11430   635.00000
[14,]   14    3    9 0.3333333   3170   352.22222
[15,]   15    0    0 0.0000000      0     0.00000
[16,]   16    0    0 0.0000000      0     0.00000
[17,]    0    0    0 0.0000000      0     0.00000
[18,]    0    0    0 0.0000000      0     0.00000
[19,]    0    0    0 0.0000000      0     0.00000
[20,]    0    0    0 0.0000000      0     0.00000
[1] "<-----------1ˆÈã"
      [,1] [,2] [,3]      [,4]  [,5]       [,6]
 [1,]    1   19   61 0.3114754 25190  412.95082
 [2,]    2   32  101 0.3168317 28400  281.18812
 [3,]    3   32   95 0.3368421 37090  390.42105
 [4,]    4   37  118 0.3135593 34160  289.49153
 [5,]    5   25   97 0.2577320  5390   55.56701
 [6,]    6   33  103 0.3203883 31230  303.20388
 [7,]    7   26   86 0.3023256 21370  248.48837
 [8,]    8   34  108 0.3148148 40380  373.88889
 [9,]    9   30  100 0.3000000 27220  272.20000
[10,]   10   31   99 0.3131313 20510  207.17172
[11,]   11   28   91 0.3076923 18580  204.17582
[12,]   12   11   45 0.2444444 -7380 -164.00000
[13,]   13    6   22 0.2727273  -400  -18.18182
[14,]   14    1    6 0.1666667 -5220 -870.00000
[15,]   15    0    0 0.0000000     0    0.00000
[16,]   16    0    0 0.0000000     0    0.00000
[17,]    0    0    0 0.0000000     0    0.00000
[18,]    0    0    0 0.0000000     0    0.00000
[19,]    0    0    0 0.0000000     0    0.00000
[20,]    0    0    0 0.0000000     0    0.00000
[1] "<-----------0‚Ì"
      [,1] [,2] [,3]      [,4]   [,5]       [,6]
 [1,]    1   82  274 0.2992701  48620  177.44526
 [2,]    2   48  181 0.2651934    580    3.20442
 [3,]    3   37  136 0.2720588  16700  122.79412
 [4,]    4   38  125 0.3040000  35110  280.88000
 [5,]    5   44  118 0.3728814  71310  604.32203
 [6,]    6   40  119 0.3361345  57320  481.68067
 [7,]    7   49  148 0.3310811  68660  463.91892
 [8,]    8   37  147 0.2517007 -16030 -109.04762
 [9,]    9   41  147 0.2789116  -2460  -16.73469
[10,]   10   46  168 0.2738095   8460   50.35714
[11,]   11   53  190 0.2789474  15280   80.42105
[12,]   12   68  236 0.2881356  37370  158.34746
[13,]   13   86  297 0.2895623  59980  201.95286
[14,]   14   97  322 0.3012422  73060  226.89441
[15,]   15  101  337 0.2997033  71010  210.71217
[16,]   16  101  337 0.2997033  71010  210.71217
[17,]    0    0    0 0.0000000      0    0.00000
[18,]    0    0    0 0.0000000      0    0.00000
[19,]    0    0    0 0.0000000      0    0.00000
[20,]    0    0    0 0.0000000      0    0.00000
