[1] "<-----------1ˆÈã"
      [,1] [,2] [,3]      [,4]  [,5]       [,6]
 [1,]    1   10   13 0.7692308   280  21.538462
 [2,]    2   11   14 0.7857143   440  31.428571
 [3,]    3   19   24 0.7916667   190   7.916667
 [4,]    4   29   42 0.6904762  -410  -9.761905
 [5,]    5   38   54 0.7037037 -1380 -25.555556
 [6,]    6   47   63 0.7460317 -1160 -18.412698
 [7,]    7   51   64 0.7968750   -50  -0.781250
 [8,]    8   32   44 0.7272727   110   2.500000
 [9,]    9   14   19 0.7368421   600  31.578947
[10,]   10    6    7 0.8571429   800 114.285714
[11,]   11    5    6 0.8333333   790 131.666667
[12,]   12    1    1 1.0000000   -10 -10.000000
[13,]   13    0    0 0.0000000     0   0.000000
[14,]   14    0    0 0.0000000     0   0.000000
[15,]   15    0    0 0.0000000     0   0.000000
[16,]   16    0    0 0.0000000     0   0.000000
[17,]    0    0    0 0.0000000     0   0.000000
[18,]    0    0    0 0.0000000     0   0.000000
[19,]    0    0    0 0.0000000     0   0.000000
[20,]    0    0    0 0.0000000     0   0.000000
[1] "<-----------0‚©‚ç‚P‚Ü‚Å"
      [,1] [,2] [,3]      [,4] [,5]       [,6]
 [1,]    1    2    2 1.0000000   50  25.000000
 [2,]    2   14   17 0.8235294  260  15.294118
 [3,]    3   16   19 0.8421053  700  36.842105
 [4,]    4   26   30 0.8666667 2050  68.333333
 [5,]    5   25   33 0.7575758  700  21.212121
 [6,]    6   27   35 0.7714286 1440  41.142857
 [7,]    7   26   35 0.7428571  260   7.428571
 [8,]    8   24   31 0.7741935  210   6.774194
 [9,]    9   16   21 0.7619048  220  10.476190
[10,]   10    4    5 0.8000000  370  74.000000
[11,]   11    3    3 1.0000000  870 290.000000
[12,]   12    3    3 1.0000000  880 293.333333
[13,]   13    1    1 1.0000000  440 440.000000
[14,]   14    1    1 1.0000000  440 440.000000
[15,]   15    0    0 0.0000000    0   0.000000
[16,]   16    0    0 0.0000000    0   0.000000
[17,]    0    0    0 0.0000000    0   0.000000
[18,]    0    0    0 0.0000000    0   0.000000
[19,]    0    0    0 0.0000000    0   0.000000
[20,]    0    0    0 0.0000000    0   0.000000
[1] "<-----------0‚ÌŽž"
      [,1] [,2] [,3]      [,4] [,5]        [,6]
 [1,]    1  105  137 0.7664234  450   3.2846715
 [2,]    2   91  120 0.7583333   40   0.3333333
 [3,]    3   82  109 0.7522936 -110  -1.0091743
 [4,]    4   62   80 0.7750000 -860 -10.7500000
 [5,]    5   54   65 0.8307692 1460  22.4615385
 [6,]    6   43   54 0.7962963  500   9.2592593
 [7,]    7   40   53 0.7547170  570  10.7547170
 [8,]    8   61   77 0.7922078  460   5.9740260
 [9,]    9   87  112 0.7767857  -40  -0.3571429
[10,]   10  107  140 0.7642857 -390  -2.7857143
[11,]   11  109  143 0.7622378 -880  -6.1538462
[12,]   12  113  148 0.7635135  -90  -0.6081081
[13,]   13  116  151 0.7682119  340   2.2516556
[14,]   14  116  151 0.7682119  340   2.2516556
[15,]   15  117  152 0.7697368  780   5.1315789
[16,]   16  117  152 0.7697368  780   5.1315789
[17,]    0    0    0 0.0000000    0   0.0000000
[18,]    0    0    0 0.0000000    0   0.0000000
[19,]    0    0    0 0.0000000    0   0.0000000
[20,]    0    0    0 0.0000000    0   0.0000000
