[1] "R出力\\20170504_Tansho3_7_KISOfittedOddsHI.txt"
[1] 0
[1] 0
[1] "<-----------馬複人気順1番/馬複人気順2番   開始範囲:終了範囲=0:100"
      [,1] [,2] [,3]       [,4]  [,5]        [,6] [,7] [,8] [,9]     [,10] [,11]       [,12]
 [1,]    0    0    0 0.00000000     0    0.000000    0    0    0 0.0000000     0    0.000000
 [2,]    1    0    0 0.00000000     0    0.000000    1    0    0 0.0000000     0    0.000000
 [3,]    2    0    0 0.00000000     0    0.000000    2    0    0 0.0000000     0    0.000000
 [4,]    3    0    0 0.00000000     0    0.000000    3    0    0 0.0000000     0    0.000000
 [5,]    4    0    0 0.00000000     0    0.000000    4    0    0 0.0000000     0    0.000000
 [6,]    5    0    0 0.00000000     0    0.000000    5    0    0 0.0000000     0    0.000000
 [7,]    6    0    0 0.00000000     0    0.000000    6    0    0 0.0000000     0    0.000000
 [8,]    7    0    0 0.00000000     0    0.000000    7    0    0 0.0000000     0    0.000000
 [9,]    8    0    0 0.00000000     0    0.000000    8    0    0 0.0000000     0    0.000000
[10,]    9    0    0 0.00000000     0    0.000000    9    0    0 0.0000000     0    0.000000
[11,]   10    0    1 0.00000000  -300 -300.000000   10    0    1 0.0000000  -300 -300.000000
[12,]   11    0    1 0.00000000  -300 -300.000000   11    0    0 0.0000000     0    0.000000
[13,]   12    0    0 0.00000000     0    0.000000   12    0    0 0.0000000     0    0.000000
[14,]   13    2    9 0.22222222  -190  -21.111111   13    1    1 1.0000000  1400 1400.000000
[15,]   14    2    8 0.25000000  1170  146.250000   14    0    2 0.0000000  -600 -300.000000
[16,]   15    2    9 0.22222222 -1010 -112.222222   15    0    1 0.0000000  -300 -300.000000
[17,]   16    3   19 0.15789474 -1230  -64.736842   16    0    2 0.0000000  -600 -300.000000
[18,]   17    2   18 0.11111111  1330   73.888889   17    0    4 0.0000000 -1200 -300.000000
[19,]   18    1   18 0.05555556 -4560 -253.333333   18    0    3 0.0000000  -900 -300.000000
[20,]   19    4   17 0.23529412  1020   60.000000   19    0    1 0.0000000  -300 -300.000000
[21,]   20    5   24 0.20833333 -1160  -48.333333   20    1    4 0.2500000  -390  -97.500000
[22,]   21    3   29 0.10344828 -4920 -169.655172   21    0    3 0.0000000  -900 -300.000000
[23,]   22    4   29 0.13793103 -4430 -152.758621   22    1    9 0.1111111 -1320 -146.666667
[24,]   23    5   30 0.16666667 -1210  -40.333333   23    1    3 0.3333333   610  203.333333
[25,]   24    6   25 0.24000000  2590  103.600000   24    0    3 0.0000000  -900 -300.000000
[26,]   25   20   62 0.32258065  7220  116.451613   25    3   12 0.2500000  -620  -51.666667
[27,]   26    9   40 0.22500000 -2930  -73.250000   26    1    8 0.1250000 -1770 -221.250000
[28,]   27   15   52 0.28846154  3870   74.423077   27    0    7 0.0000000 -2100 -300.000000
[29,]   28   13   44 0.29545455  4080   92.727273   28    2    7 0.2857143  2260  322.857143
[30,]   29   12   45 0.26666667  -170   -3.777778   29    4   15 0.2666667   -40   -2.666667
[31,]   30    8   55 0.14545455 -3420  -62.181818   30    1   10 0.1000000 -2080 -208.000000
[32,]   31   11   47 0.23404255  -910  -19.361702   31    1    6 0.1666667 -1000 -166.666667
[33,]   32   14   41 0.34146341  6460  157.560976   32    3    4 0.7500000  2810  702.500000
[34,]   33   18   38 0.47368421 15430  406.052632   33    4    7 0.5714286  1200  171.428571
[35,]   34   15   60 0.25000000 -3740  -62.333333   34    2    6 0.3333333   160   26.666667
[36,]   35   10   51 0.19607843 -4300  -84.313725   35    1    8 0.1250000 -1750 -218.750000
[37,]   36   21   71 0.29577465  4990   70.281690   36    6   13 0.4615385  3230  248.461538
[38,]   37   11   52 0.21153846 -3630  -69.807692   37    2   11 0.1818182 -1340 -121.818182
[39,]   38    9   35 0.25714286  3010   86.000000   38    1    8 0.1250000 -1640 -205.000000
[40,]   39   19   64 0.29687500  3250   50.781250   39    4   14 0.2857143   440   31.428571
[41,]   40    9   43 0.20930233 -2460  -57.209302   40    1    6 0.1666667  -960 -160.000000
[42,]   41   13   53 0.24528302  -530  -10.000000   41    5   12 0.4166667  1510  125.833333
[43,]   42   13   55 0.23636364 -5120  -93.090909   42    3    7 0.4285714    30    4.285714
[44,]   43   12   53 0.22641509   930   17.547170   43    4   13 0.3076923  1500  115.384615
