[1] "R出力\\20170504_Tansho4_10_OddsHI.txt"
[1] 0
[1] 0
[1] "<-----------馬複人気順1番/馬複人気順2番   開始範囲:終了範囲=0:100"
      [,1] [,2] [,3]       [,4]   [,5]         [,6] [,7] [,8] [,9]      [,10] [,11]       [,12]
 [1,]    0    0    0 0.00000000      0    0.0000000    0    0    0 0.00000000     0    0.000000
 [2,]    1    0    0 0.00000000      0    0.0000000    1    0    0 0.00000000     0    0.000000
 [3,]    2    0    0 0.00000000      0    0.0000000    2    0    0 0.00000000     0    0.000000
 [4,]    3    0    2 0.00000000  -1000 -500.0000000    3    0    0 0.00000000     0    0.000000
 [5,]    4    0    9 0.00000000  -4500 -500.0000000    4    0    3 0.00000000 -1500 -500.000000
 [6,]    5    0   16 0.00000000  -8000 -500.0000000    5    0    1 0.00000000  -500 -500.000000
 [7,]    6    1   19 0.05263158  -7110 -374.2105263    6    1    6 0.16666667  -610 -101.666667
 [8,]    7    0   18 0.00000000  -9000 -500.0000000    7    0    2 0.00000000 -1000 -500.000000
 [9,]    8    2   25 0.08000000  -5410 -216.4000000    8    0    3 0.00000000 -1500 -500.000000
[10,]    9    2   22 0.09090909  -5360 -243.6363636    9    0    1 0.00000000  -500 -500.000000
[11,]   10    4   26 0.15384615   4980  191.5384615   10    1    5 0.20000000  3590  718.000000
[12,]   11    2   35 0.05714286 -12860 -367.4285714   11    0    2 0.00000000 -1000 -500.000000
[13,]   12    2   48 0.04166667 -22910 -477.2916667   12    1   12 0.08333333 -5770 -480.833333
[14,]   13    3   37 0.08108108  -7980 -215.6756757   13    1    6 0.16666667 -1300 -216.666667
[15,]   14    2   28 0.07142857 -10430 -372.5000000   14    0    4 0.00000000 -2000 -500.000000
[16,]   15    3   39 0.07692308  -9240 -236.9230769   15    0    4 0.00000000 -2000 -500.000000
[17,]   16    7   64 0.10937500 -18880 -295.0000000   16    0   10 0.00000000 -5000 -500.000000
[18,]   17    4   47 0.08510638 -12520 -266.3829787   17    0    9 0.00000000 -4500 -500.000000
[19,]   18    4   52 0.07692308 -16260 -312.6923077   18    1   12 0.08333333 -4090 -340.833333
[20,]   19    4   55 0.07272727 -13880 -252.3636364   19    0    9 0.00000000 -4500 -500.000000
[21,]   20    8   59 0.13559322  14830  251.3559322   20    0    9 0.00000000 -4500 -500.000000
[22,]   21    4   58 0.06896552 -20180 -347.9310345   21    0   10 0.00000000 -5000 -500.000000
[23,]   22    5   61 0.08196721 -21910 -359.1803279   22    2   14 0.14285714 -3250 -232.142857
[24,]   23    7   66 0.10606061 -18640 -282.4242424   23    2   10 0.20000000 -1430 -143.000000
[25,]   24    9   43 0.20930233  -4100  -95.3488372   24    1    7 0.14285714 -2750 -392.857143
[26,]   25   14  109 0.12844037 -30140 -276.5137615   25    2   21 0.09523810 -8310 -395.714286
[27,]   26   10   80 0.12500000 -21580 -269.7500000   26    0   14 0.00000000 -7000 -500.000000
[28,]   27   11   80 0.13750000 -22340 -279.2500000   27    0   13 0.00000000 -6500 -500.000000
[29,]   28   14   65 0.21538462  -4100  -63.0769231   28    1   11 0.09090909 -2640 -240.000000
[30,]   29   18   75 0.24000000   2540   33.8666667   29    4   19 0.21052632 -4860 -255.789474
[31,]   30   12   81 0.14814815 -13650 -168.5185185   30    2   14 0.14285714 -4170 -297.857143
[32,]   31    9   75 0.12000000 -24400 -325.3333333   31    0   12 0.00000000 -6000 -500.000000
[33,]   32   14   73 0.19178082 -14190 -194.3835616   32    2    8 0.25000000  -660  -82.500000
[34,]   33   13   69 0.18840580  -3890  -56.3768116   33    3   12 0.25000000  2820  235.000000
[35,]   34   11   89 0.12359551 -21250 -238.7640449   34    0    9 0.00000000 -4500 -500.000000
[36,]   35   16   75 0.21333333   7350   98.0000000   35    2   11 0.18181818  -400  -36.363636
