[1] "R出力\\20170504_Umahuku14_29_asdfasOddsHI.txt"
[1] "<-----------馬複人気順1番/馬複人気順2番   開始範囲:終了範囲=0:100"
      [,1] [,2] [,3]       [,4]    [,5]        [,6] [,7] [,8] [,9]      [,10]  [,11]       [,12]
 [1,]    0    0    0 0.00000000       0     0.00000    0    0    0 0.00000000      0     0.00000
 [2,]    1    0    0 0.00000000       0     0.00000    1    0    0 0.00000000      0     0.00000
 [3,]    2    0    0 0.00000000       0     0.00000    2    0    0 0.00000000      0     0.00000
 [4,]    3    0    2 0.00000000   -2800 -1400.00000    3    0    0 0.00000000      0     0.00000
 [5,]    4    0    9 0.00000000  -12600 -1400.00000    4    0    3 0.00000000  -4200 -1400.00000
 [6,]    5    0   16 0.00000000  -22400 -1400.00000    5    0    1 0.00000000  -1400 -1400.00000
 [7,]    6    0   19 0.00000000  -26600 -1400.00000    6    0    6 0.00000000  -8400 -1400.00000
 [8,]    7    0   18 0.00000000  -25200 -1400.00000    7    0    2 0.00000000  -2800 -1400.00000
 [9,]    8    1   25 0.04000000   -8600  -344.00000    8    0    3 0.00000000  -4200 -1400.00000
[10,]    9    1   22 0.04545455  -18340  -833.63636    9    0    1 0.00000000  -1400 -1400.00000
[11,]   10    1   26 0.03846154  -27310 -1050.38462   10    0    5 0.00000000  -7000 -1400.00000
[12,]   11    0   35 0.00000000  -49000 -1400.00000   11    0    2 0.00000000  -2800 -1400.00000
[13,]   12    0   48 0.00000000  -67200 -1400.00000   12    0   12 0.00000000 -16800 -1400.00000
[14,]   13    3   37 0.08108108  -23990  -648.37838   13    0    6 0.00000000  -8400 -1400.00000
[15,]   14    1   28 0.03571429  -30520 -1090.00000   14    0    4 0.00000000  -5600 -1400.00000
[16,]   15    5   39 0.12820513    -840   -21.53846   15    2    4 0.50000000   8320  2080.00000
[17,]   16    2   64 0.03125000  -62060  -969.68750   16    0   10 0.00000000 -14000 -1400.00000
[18,]   17    0   47 0.00000000  -65800 -1400.00000   17    0    9 0.00000000 -12600 -1400.00000
[19,]   18    4   52 0.07692308  -40230  -773.65385   18    2   12 0.16666667   4270   355.83333
[20,]   19    5   55 0.09090909  -37010  -672.90909   19    1    9 0.11111111  -5090  -565.55556
[21,]   20    2   59 0.03389831  -70080 -1187.79661   20    1    9 0.11111111  -6980  -775.55556
[22,]   21    2   58 0.03448276  -45730  -788.44828   21    0   10 0.00000000 -14000 -1400.00000
[23,]   22    6   61 0.09836066  -50690  -830.98361   22    2   14 0.14285714  -6990  -499.28571
[24,]   23    1   66 0.01515152  -84530 -1280.75758   23    0   10 0.00000000 -14000 -1400.00000
[25,]   24    6   43 0.13953488  -25140  -584.65116   24    1    7 0.14285714  -5650  -807.14286
[26,]   25   16  109 0.14678899  -33640  -308.62385   25    3   21 0.14285714  -6020  -286.66667
[27,]   26    5   80 0.06250000  -64500  -806.25000   26    2   14 0.14285714  -3730  -266.42857
[28,]   27   11   80 0.13750000  -42830  -535.37500   27    1   13 0.07692308 -14120 -1086.15385
[29,]   28    8   65 0.12307692  -27090  -416.76923   28    1   11 0.09090909  -6470  -588.18182
[30,]   29   10   75 0.13333333  -36330  -484.40000   29    2   19 0.10526316 -17560  -924.21053
[31,]   30    7   81 0.08641975  -63180  -780.00000   30    2   14 0.14285714  -7750  -553.57143
[32,]   31    7   75 0.09333333  -54720  -729.60000   31    0   12 0.00000000 -16800 -1400.00000
[33,]   32   11   73 0.15068493  -39090  -535.47945   32    1    8 0.12500000  -2270  -283.75000
[34,]   33    8   69 0.11594203  -30710  -445.07246   33    3   12 0.25000000  11470   955.83333
[35,]   34   18   89 0.20224719  -25360  -284.94382   34    4    9 0.44444444  13140  1460.00000
[36,]   35   16   75 0.21333333   13400   178.66667   35    3   11 0.27272727   2490   226.36364
[37,]   36   19  101 0.18811881   -7520   -74.45545   36    2   19 0.10526316 -11140  -586.31579
[38,]   37    8   92 0.08695652  -74420  -808.91304   37    1   18 0.05555556 -18680 -1037.77778
[39,]   38    6   69 0.08695652  -63490  -920.14493   38    2    9 0.22222222  -1350  -150.00000
