[1] "<-----------1"
      [,1] [,2] [,3]      [,4]   [,5]       [,6]
 [1,] 0.00  158  560 0.2821429 -16460  -29.39286
 [2,] 0.05    0    0 0.0000000      0    0.00000
 [3,] 0.10    0    0 0.0000000      0    0.00000
 [4,] 0.15    0    0 0.0000000      0    0.00000
 [5,] 0.20    0    0 0.0000000      0    0.00000
 [6,] 0.25    0    0 0.0000000      0    0.00000
 [7,] 0.30    0    0 0.0000000      0    0.00000
 [8,] 0.35    0    0 0.0000000      0    0.00000
 [9,] 0.40    0    0 0.0000000      0    0.00000
[10,] 0.45    0    0 0.0000000      0    0.00000
[11,] 0.50    0    0 0.0000000      0    0.00000
[12,] 0.55    0    0 0.0000000      0    0.00000
[13,] 0.60    0    0 0.0000000      0    0.00000
[14,] 0.65    0    0 0.0000000      0    0.00000
[15,] 0.70    0    1 0.0000000   -500 -500.00000
[16,] 0.75    0    0 0.0000000      0    0.00000
[17,] 0.80    0    1 0.0000000   -500 -500.00000
[18,] 0.85    0    2 0.0000000  -1000 -500.00000
[19,] 0.90    2    6 0.3333333  -1380 -230.00000
[20,] 0.95    0    2 0.0000000  -1000 -500.00000
[21,] 1.00    3   24 0.1250000  -3840 -160.00000
[22,] 1.10    7   13 0.5384615   4320  332.30769
[23,] 1.20    6   18 0.3333333   7610  422.77778
[24,] 1.30    4   10 0.4000000   2690  269.00000
[25,] 1.40    3   14 0.2142857   -800  -57.14286
[26,] 1.50    2    8 0.2500000  -1890 -236.25000
[27,] 1.60    8   10 0.8000000  14160 1416.00000
[28,] 1.70    1    3 0.3333333    160   53.33333
[29,] 1.80    1    5 0.2000000  -1600 -320.00000
[30,] 1.90    1    6 0.1666667  -1700 -283.33333
[31,] 2.00    3   12 0.2500000   -790  -65.83333
[32,] 2.25    2    3 0.6666667   1300  433.33333
[33,] 2.50    1    3 0.3333333  -1040 -346.66667
[34,] 2.75    2    4 0.5000000    120   30.00000
[35,] 3.00    0    1 0.0000000   -500 -500.00000
[36,] 3.25    0    0 0.0000000      0    0.00000
[37,] 3.50    0    0 0.0000000      0    0.00000
[38,] 3.75    0    0 0.0000000      0    0.00000
[39,] 4.00    1    1 1.0000000   1090 1090.00000
[40,] 4.25    0    1 0.0000000   -500 -500.00000
[1] "<-----------2"
      [,1] [,2] [,3]      [,4]  [,5]        [,6]
 [1,] 0.00  112  393 0.2849873 -5670  -14.427481
 [2,] 0.05    0    0 0.0000000     0    0.000000
 [3,] 0.10    0    0 0.0000000     0    0.000000
 [4,] 0.15    0    0 0.0000000     0    0.000000
 [5,] 0.20    0    0 0.0000000     0    0.000000
 [6,] 0.25    0    0 0.0000000     0    0.000000
 [7,] 0.30    0    0 0.0000000     0    0.000000
 [8,] 0.35    0    1 0.0000000  -500 -500.000000
 [9,] 0.40    1    2 0.5000000   450  225.000000
[10,] 0.45    0    4 0.0000000 -2000 -500.000000
[11,] 0.50    0    1 0.0000000  -500 -500.000000
[12,] 0.55    3    9 0.3333333   150   16.666667
[13,] 0.60    3    6 0.5000000  1880  313.333333
[14,] 0.65    6   16 0.3750000  3230  201.875000
[15,] 0.70    4   20 0.2000000   500   25.000000
[16,] 0.75    5   15 0.3333333 -2570 -171.333333
[17,] 0.80    3    8 0.3750000  -150  -18.750000
[18,] 0.85    2   16 0.1250000 -4320 -270.000000
[19,] 0.90    5   17 0.2941176   -50   -2.941176
[20,] 0.95    3   15 0.2000000 -1050  -70.000000
[21,] 1.00    8   27 0.2962963  1770   65.555556
[22,] 1.10    9   36 0.2500000 -3150  -87.500000
[23,] 1.20    6   21 0.2857143 -3720 -177.142857
[24,] 1.30    9   29 0.3103448  -740  -25.517241
[25,] 1.40    5   17 0.2941176   640   37.647059
[26,] 1.50    0   10 0.0000000 -5000 -500.000000
[27,] 1.60    5    7 0.7142857  3750  535.714286
[28,] 1.70    0    3 0.0000000 -1500 -500.000000
[29,] 1.80    2    6 0.3333333  1120  186.666667
[30,] 1.90    1    7 0.1428571  -630  -90.000000
[31,] 2.00    9   11 0.8181818 14540 1321.818182
[32,] 2.25    2    5 0.4000000  2370  474.000000
[33,] 2.50    0    6 0.0000000 -3000 -500.000000
[34,] 2.75    1    3 0.3333333  -390 -130.000000
[35,] 3.00    1    1 1.0000000   490  490.000000
[36,] 3.25    0    2 0.0000000 -1000 -500.000000
[37,] 3.50    0    0 0.0000000     0    0.000000
[38,] 3.75    0    0 0.0000000     0    0.000000
[39,] 4.00    0    0 0.0000000     0    0.000000
[40,] 4.25    0    0 0.0000000     0    0.000000
[1] "<-----------3"
