[1] "<-----------1"
      [,1] [,2] [,3]       [,4]    [,5]       [,6]
 [1,] 0.00  481 3209 0.14989093 -603220 -187.97756
 [2,] 0.05    0    0 0.00000000       0    0.00000
 [3,] 0.10    0    0 0.00000000       0    0.00000
 [4,] 0.15    0    1 0.00000000    -500 -500.00000
 [5,] 0.20    0    0 0.00000000       0    0.00000
 [6,] 0.25    0    0 0.00000000       0    0.00000
 [7,] 0.30    0    0 0.00000000       0    0.00000
 [8,] 0.35    0    0 0.00000000       0    0.00000
 [9,] 0.40    0    0 0.00000000       0    0.00000
[10,] 0.45    0    1 0.00000000    -500 -500.00000
[11,] 0.50    0    0 0.00000000       0    0.00000
[12,] 0.55    0    0 0.00000000       0    0.00000
[13,] 0.60    0    0 0.00000000       0    0.00000
[14,] 0.65    0    0 0.00000000       0    0.00000
[15,] 0.70    0    3 0.00000000   -1500 -500.00000
[16,] 0.75    0    2 0.00000000   -1000 -500.00000
[17,] 0.80    0    6 0.00000000   -3000 -500.00000
[18,] 0.85    1    4 0.25000000    1590  397.50000
[19,] 0.90    4   21 0.19047619   -5060 -240.95238
[20,] 0.95    2    9 0.22222222    -610  -67.77778
[21,] 1.00    7   73 0.09589041  -23170 -317.39726
[22,] 1.10   16   73 0.21917808  -13840 -189.58904
[23,] 1.20   15   82 0.18292683    5350   65.24390
[24,] 1.30   18   66 0.27272727   16770  254.09091
[25,] 1.40    7   67 0.10447761  -21360 -318.80597
[26,] 1.50   10   65 0.15384615  -13580 -208.92308
[27,] 1.60   13   53 0.24528302    2550   48.11321
[28,] 1.70    4   33 0.12121212  -12040 -364.84848
[29,] 1.80    6   27 0.22222222   -2300  -85.18519
[30,] 1.90    4   29 0.13793103   -2200  -75.86207
[31,] 2.00    9   62 0.14516129  -15880 -256.12903
[32,] 2.25    6   25 0.24000000     720   28.80000
[33,] 2.50    2   17 0.11764706   -6560 -385.88235
[34,] 2.75    2   20 0.10000000   -7880 -394.00000
[35,] 3.00    2   14 0.14285714   -2990 -213.57143
[36,] 3.25    0    3 0.00000000   -1500 -500.00000
[37,] 3.50    0    2 0.00000000   -1000 -500.00000
[38,] 3.75    0    2 0.00000000   -1000 -500.00000
[39,] 4.00    2    2 1.00000000    8340 4170.00000
[40,] 4.25    0    2 0.00000000   -1000 -500.00000
[1] "<-----------2"
      [,1] [,2] [,3]       [,4]    [,5]       [,6]
 [1,] 0.00  331 2313 0.14310419 -466550 -201.70774
 [2,] 0.05    0    0 0.00000000       0    0.00000
 [3,] 0.10    0    0 0.00000000       0    0.00000
 [4,] 0.15    0    1 0.00000000    -500 -500.00000
 [5,] 0.20    0    2 0.00000000   -1000 -500.00000
 [6,] 0.25    1    5 0.20000000     700  140.00000
 [7,] 0.30    2   10 0.20000000    2220  222.00000
 [8,] 0.35    1   13 0.07692308    1250   96.15385
 [9,] 0.40    2   19 0.10526316   -4940 -260.00000
[10,] 0.45    1   27 0.03703704  -11570 -428.51852
[11,] 0.50    3   47 0.06382979  -18440 -392.34043
[12,] 0.55    7   57 0.12280702  -19650 -344.73684
[13,] 0.60   13   67 0.19402985   -4670  -69.70149
[14,] 0.65   13   89 0.14606742  -19230 -216.06742
[15,] 0.70    9   86 0.10465116  -27050 -314.53488
[16,] 0.75   14   66 0.21212121    5590   84.69697
[17,] 0.80    7   63 0.11111111  -21800 -346.03175
[18,] 0.85    9   69 0.13043478  -17660 -255.94203
[19,] 0.90   13   65 0.20000000    1320   20.30769
[20,] 0.95    7   53 0.13207547  -13310 -251.13208
[21,] 1.00   24  131 0.18320611  -20390 -155.64885
[22,] 1.10   21  126 0.16666667  -26100 -207.14286
[23,] 1.20   15   89 0.16853933  -17320 -194.60674
[24,] 1.30   27  110 0.24545455  -13840 -125.81818
[25,] 1.40   15   78 0.19230769  -17570 -225.25641
[26,] 1.50    8   69 0.11594203   11840  171.59420
[27,] 1.60   17   44 0.38636364    8600  195.45455
[28,] 1.70    4   35 0.11428571   -4920 -140.57143
[29,] 1.80    6   36 0.16666667    4900  136.11111
[30,] 1.90    4   26 0.15384615   -2130  -81.92308
[31,] 2.00   15   61 0.24590164   -1240  -20.32787
[32,] 2.25    6   32 0.18750000     -60   -1.87500
[33,] 2.50    3   34 0.08823529   -8190 -240.88235
[34,] 2.75    4   14 0.28571429    -660  -47.14286
[35,] 3.00    3   15 0.20000000   -4950 -330.00000
[36,] 3.25    1    8 0.12500000     380   47.50000
[37,] 3.50    1    6 0.16666667   -1550 -258.33333
[38,] 3.75    0    2 0.00000000   -1000 -500.00000
[39,] 4.00    2    6 0.33333333     930  155.00000
[40,] 4.25    0    2 0.00000000   -1000 -500.00000
[1] "<-----------3"
      [,1] [,2] [,3]       [,4]    [,5]        [,6]
 [1,] 0.00  258 1899 0.13586098 -395480 -208.256977
 [2,] 0.05    1    1 1.00000000    2600 2600.000000
 [3,] 0.10    1    2 0.50000000    1720  860.000000
 [4,] 0.15    0    1 0.00000000    -500 -500.000000
 [5,] 0.20    0    6 0.00000000   -3000 -500.000000
 [6,] 0.25    0   14 0.00000000   -7000 -500.000000
 [7,] 0.30    1   17 0.05882353   -6970 -410.000000
 [8,] 0.35    4   27 0.14814815   -4790 -177.407407
 [9,] 0.40   10   48 0.20833333   11310  235.625000
[10,] 0.45    6   51 0.11764706  -11110 -217.843137
[11,] 0.50    9   61 0.14754098   -6310 -103.442623
[12,] 0.55   15   90 0.16666667  -20520 -228.000000
[13,] 0.60   19   79 0.24050633    1640   20.759494
[14,] 0.65   15   97 0.15463918  -21740 -224.123711
[15,] 0.70   25  105 0.23809524     500    4.761905
[16,] 0.75   19  111 0.17117117  -27350 -246.396396
[17,] 0.80   13   95 0.13684211  -20310 -213.789474
[18,] 0.85   13   91 0.14285714  -24180 -265.714286
[19,] 0.90   18   90 0.20000000   -9890 -109.888889
[20,] 0.95   11   60 0.18333333  -11720 -195.333333
[21,] 1.00   26  138 0.18840580    3260   23.623188
[22,] 1.10   18  111 0.16216216  -14230 -128.198198
[23,] 1.20   21  114 0.18421053  -15290 -134.122807
[24,] 1.30   24  110 0.21818182  -16950 -154.090909
[25,] 1.40   21   84 0.25000000   -5500  -65.476190
[26,] 1.50    8   85 0.09411765  -21750 -255.882353
[27,] 1.60    9   55 0.16363636  -16680 -303.272727
[28,] 1.70    3   45 0.06666667  -12620 -280.444444
[29,] 1.80    4   41 0.09756098  -10350 -252.439024
[30,] 1.90    4   27 0.14814815   -8010 -296.666667
[31,] 2.00   14   77 0.18181818   -5020  -65.194805
[32,] 2.25    4   40 0.10000000  -12170 -304.250000
[33,] 2.50    6   33 0.18181818   -6750 -204.545455
[34,] 2.75    6   22 0.27272727    2530  115.000000
[35,] 3.00    3   16 0.18750000   -1590  -99.375000
[36,] 3.25    0    9 0.00000000   -4500 -500.000000
[37,] 3.50    0   10 0.00000000   -5000 -500.000000
[38,] 3.75    0    2 0.00000000   -1000 -500.000000
[39,] 4.00    0    4 0.00000000   -2000 -500.000000
[40,] 4.25    0    1 0.00000000    -500 -500.000000
[1] "<-----------4"
      [,1] [,2] [,3]       [,4]    [,5]       [,6]
 [1,] 0.00  238 1693 0.14057885 -339200 -200.35440
 [2,] 0.05    0    2 0.00000000   -1000 -500.00000
 [3,] 0.10    0    0 0.00000000       0    0.00000
 [4,] 0.15    0    3 0.00000000   -1500 -500.00000
 [5,] 0.20    0    4 0.00000000   -2000 -500.00000
 [6,] 0.25    3   16 0.18750000    3540  221.25000
 [7,] 0.30    3   28 0.10714286   -7220 -257.85714
 [8,] 0.35    8   47 0.17021277   -8700 -185.10638
 [9,] 0.40   10   44 0.22727273   -1180  -26.81818
[10,] 0.45    9   44 0.20454545    4260   96.81818
[11,] 0.50   13   85 0.15294118  -11480 -135.05882
[12,] 0.55    6   83 0.07228916  -26210 -315.78313
[13,] 0.60    9   97 0.09278351  -35980 -370.92784
[14,] 0.65   21  115 0.18260870  -19470 -169.30435
[15,] 0.70   10   73 0.13698630  -14680 -201.09589
[16,] 0.75   18  113 0.15929204  -10180  -90.08850
[17,] 0.80   19  101 0.18811881  -15900 -157.42574
[18,] 0.85   16  102 0.15686275  -24800 -243.13725
[19,] 0.90   16   75 0.21333333  -11790 -157.20000
[20,] 0.95   16   84 0.19047619  -16320 -194.28571
[21,] 1.00   37  150 0.24666667    6120   40.80000
[22,] 1.10   29  142 0.20422535    7540   53.09859
[23,] 1.20   20  125 0.16000000  -16630 -133.04000
[24,] 1.30   19  116 0.16379310  -25660 -221.20690
[25,] 1.40   18   92 0.19565217  -19700 -214.13043
[26,] 1.50   13   72 0.18055556  -16100 -223.61111
[27,] 1.60    9   77 0.11688312  -23240 -301.81818
[28,] 1.70   10   51 0.19607843   -5500 -107.84314
[29,] 1.80   10   51 0.19607843    1910   37.45098
[30,] 1.90    5   53 0.09433962   -9970 -188.11321
[31,] 2.00   12   67 0.17910448  -10770 -160.74627
[32,] 2.25    1   59 0.01694915  -27760 -470.50847
[33,] 2.50    8   33 0.24242424    5410  163.93939
[34,] 2.75    0   23 0.00000000  -11500 -500.00000
[35,] 3.00    2   15 0.13333333   -4900 -326.66667
[36,] 3.25    1   18 0.05555556   -8290 -460.55556
[37,] 3.50    0    2 0.00000000   -1000 -500.00000
[38,] 3.75    1   10 0.10000000   -2490 -249.00000
[39,] 4.00    0    0 0.00000000       0    0.00000
[40,] 4.25    0    6 0.00000000   -3000 -500.00000
[1] "<-----------5"
      [,1] [,2] [,3]       [,4]    [,5]       [,6]
 [1,] 0.00  232 1645 0.14103343 -300700 -182.79635
 [2,] 0.05    0    1 0.00000000    -500 -500.00000
 [3,] 0.10    1    3 0.33333333    1600  533.33333
 [4,] 0.15    1    3 0.33333333     270   90.00000
 [5,] 0.20    1   10 0.10000000   -2960 -296.00000
 [6,] 0.25    3   19 0.15789474   -5340 -281.05263
 [7,] 0.30    3   29 0.10344828   -7670 -264.48276
 [8,] 0.35    5   50 0.10000000  -16360 -327.20000
 [9,] 0.40    6   55 0.10909091  -17020 -309.45455
[10,] 0.45    7   58 0.12068966  -16620 -286.55172
[11,] 0.50   10   76 0.13157895  -22640 -297.89474
[12,] 0.55   19   83 0.22891566   -2410  -29.03614
[13,] 0.60   15   80 0.18750000   15540  194.25000
[14,] 0.65   20  100 0.20000000  -12680 -126.80000
[15,] 0.70   21  107 0.19626168   -9590  -89.62617
[16,] 0.75   17   88 0.19318182  -16670 -189.43182
[17,] 0.80   17   98 0.17346939  -22330 -227.85714
[18,] 0.85   16   89 0.17977528  -12780 -143.59551
[19,] 0.90   18   98 0.18367347  -23680 -241.63265
[20,] 0.95    5   61 0.08196721  -23040 -377.70492
[21,] 1.00   33  160 0.20625000  -22010 -137.56250
[22,] 1.10   34  159 0.21383648  -14460  -90.94340
[23,] 1.20   23  130 0.17692308  -13240 -101.84615
[24,] 1.30   21  107 0.19626168  -11350 -106.07477
[25,] 1.40   19  105 0.18095238  -16120 -153.52381
[26,] 1.50   12   82 0.14634146  -16600 -202.43902
[27,] 1.60    6   62 0.09677419  -18530 -298.87097
[28,] 1.70    7   49 0.14285714   -8420 -171.83673
[29,] 1.80    5   44 0.11363636  -12850 -292.04545
[30,] 1.90    7   37 0.18918919    1710   46.21622
[31,] 2.00    8   76 0.10526316  -23100 -303.94737
[32,] 2.25    4   57 0.07017544  -15970 -280.17544
[33,] 2.50    7   43 0.16279070   -6580 -153.02326
[34,] 2.75    3   35 0.08571429   -7670 -219.14286
[35,] 3.00    2   16 0.12500000   -6190 -386.87500
[36,] 3.25    1   21 0.04761905   -3150 -150.00000
[37,] 3.50    0   11 0.00000000   -5500 -500.00000
[38,] 3.75    0    9 0.00000000   -4500 -500.00000
[39,] 4.00    0    5 0.00000000   -2500 -500.00000
[40,] 4.25    0    5 0.00000000   -2500 -500.00000
[1] "<-----------6"
      [,1] [,2] [,3]       [,4]    [,5]        [,6]
 [1,] 0.00  250 1636 0.15281174 -301070 -184.028117
 [2,] 0.05    0    0 0.00000000       0    0.000000
 [3,] 0.10    1    3 0.33333333    -690 -230.000000
 [4,] 0.15    1   11 0.09090909   -3750 -340.909091
 [5,] 0.20    1   12 0.08333333   -4410 -367.500000
 [6,] 0.25    6   20 0.30000000    -480  -24.000000
 [7,] 0.30    5   29 0.17241379   -8380 -288.965517
 [8,] 0.35    9   40 0.22500000    -340   -8.500000
 [9,] 0.40    8   44 0.18181818  -12630 -287.045455
[10,] 0.45   11   76 0.14473684  -25000 -328.947368
[11,] 0.50   17   78 0.21794872  -10400 -133.333333
[12,] 0.55    8   75 0.10666667  -28350 -378.000000
[13,] 0.60   14   80 0.17500000  -16900 -211.250000
[14,] 0.65   18  103 0.17475728   19380  188.155340
[15,] 0.70   22   96 0.22916667   -6310  -65.729167
[16,] 0.75   13  103 0.12621359  -33120 -321.553398
[17,] 0.80   20   94 0.21276596   -1360  -14.468085
[18,] 0.85   11   79 0.13924051  -13270 -167.974684
[19,] 0.90   20   79 0.25316456   -6720  -85.063291
[20,] 0.95   13   68 0.19117647   -9660 -142.058824
[21,] 1.00   23  155 0.14838710  -25530 -164.709677
[22,] 1.10   25  132 0.18939394  -10120  -76.666667
[23,] 1.20   18  124 0.14516129  -20170 -162.661290
[24,] 1.30   15  114 0.13157895  -29990 -263.070175
[25,] 1.40   14  105 0.13333333  -22930 -218.380952
[26,] 1.50   13   85 0.15294118  -13710 -161.294118
[27,] 1.60    8   63 0.12698413  -15050 -238.888889
[28,] 1.70    7   44 0.15909091   -9090 -206.590909
[29,] 1.80    5   52 0.09615385    -770  -14.807692
[30,] 1.90    9   57 0.15789474     520    9.122807
[31,] 2.00   10   83 0.12048193  -22080 -266.024096
[32,] 2.25    4   76 0.05263158  -23580 -310.263158
[33,] 2.50    0   37 0.00000000  -18500 -500.000000
[34,] 2.75    2   34 0.05882353  -13150 -386.764706
[35,] 3.00    3   26 0.11538462   -7070 -271.923077
[36,] 3.25    1   10 0.10000000   -1440 -144.000000
[37,] 3.50    2   17 0.11764706   -2500 -147.058824
[38,] 3.75    1   12 0.08333333   -5240 -436.666667
[39,] 4.00    1   11 0.09090909   -1580 -143.636364
[40,] 4.25    0    3 0.00000000   -1500 -500.000000
[1] "<-----------7"
      [,1] [,2] [,3]       [,4]    [,5]        [,6]
 [1,] 0.00  267 1744 0.15309633 -339130 -194.455275
 [2,] 0.05    0    0 0.00000000       0    0.000000
 [3,] 0.10    3    8 0.37500000    1610  201.250000
 [4,] 0.15    1    8 0.12500000   -1880 -235.000000
 [5,] 0.20    5   25 0.20000000   -6620 -264.800000
 [6,] 0.25    3   31 0.09677419   -7640 -246.451613
 [7,] 0.30    5   25 0.20000000   -2020  -80.800000
 [8,] 0.35    3   37 0.08108108  -14330 -387.297297
 [9,] 0.40    4   47 0.08510638  -17300 -368.085106
[10,] 0.45    3   47 0.06382979  -16310 -347.021277
[11,] 0.50    7   69 0.10144928  -21190 -307.101449
[12,] 0.55    9   77 0.11688312  -19360 -251.428571
[13,] 0.60    9   65 0.13846154  -12780 -196.615385
[14,] 0.65   17   82 0.20731707    -590   -7.195122
[15,] 0.70    8   85 0.09411765  -23740 -279.294118
[16,] 0.75   11   88 0.12500000    4830   54.886364
[17,] 0.80   14   74 0.18918919   -7870 -106.351351
[18,] 0.85   10   71 0.14084507  -15490 -218.169014
[19,] 0.90   18   77 0.23376623    2350   30.519481
[20,] 0.95   13   80 0.16250000   -6190  -77.375000
[21,] 1.00   35  171 0.20467836    1880   10.994152
[22,] 1.10   27  110 0.24545455  -11840 -107.636364
[23,] 1.20   25  139 0.17985612   -2160  -15.539568
[24,] 1.30   11  102 0.10784314  -31430 -308.137255
[25,] 1.40   21  103 0.20388350    2730   26.504854
[26,] 1.50   13   78 0.16666667  -14460 -185.384615
[27,] 1.60   14   79 0.17721519  -12080 -152.911392
[28,] 1.70   10   74 0.13513514  -20170 -272.567568
[29,] 1.80    4   35 0.11428571  -12320 -352.000000
[30,] 1.90    2   34 0.05882353  -12920 -380.000000
[31,] 2.00   16   88 0.18181818  -21510 -244.431818
[32,] 2.25   10   58 0.17241379  -10740 -185.172414
[33,] 2.50    8   49 0.16326531   -7560 -154.285714
[34,] 2.75    1   32 0.03125000  -15350 -479.687500
[35,] 3.00    2   22 0.09090909   -7690 -349.545455
[36,] 3.25    0   17 0.00000000   -8500 -500.000000
[37,] 3.50    0    9 0.00000000   -4500 -500.000000
[38,] 3.75    2    7 0.28571429     240   34.285714
[39,] 4.00    0   14 0.00000000   -7000 -500.000000
[40,] 4.25    0    5 0.00000000   -2500 -500.000000
[1] "<-----------8"
      [,1] [,2] [,3]       [,4]    [,5]       [,6]
 [1,] 0.00  293 2018 0.14519326 -418590 -207.42815
 [2,] 0.05    1    3 0.33333333    4250 1416.66667
 [3,] 0.10    0    5 0.00000000   -2500 -500.00000
 [4,] 0.15    0   10 0.00000000   -5000 -500.00000
 [5,] 0.20    4   11 0.36363636    6340  576.36364
 [6,] 0.25    4   20 0.20000000    -310  -15.50000
 [7,] 0.30    4   28 0.14285714   -3280 -117.14286
 [8,] 0.35    3   49 0.06122449   -8900 -181.63265
 [9,] 0.40    6   39 0.15384615   -8070 -206.92308
[10,] 0.45   12   51 0.23529412   35450  695.09804
[11,] 0.50    9   40 0.22500000     580   14.50000
[12,] 0.55    6   52 0.11538462  -14500 -278.84615
[13,] 0.60    9   56 0.16071429  -12430 -221.96429
[14,] 0.65   12   60 0.20000000   -8380 -139.66667
[15,] 0.70   10   83 0.12048193  -25920 -312.28916
[16,] 0.75   11   73 0.15068493  -11540 -158.08219
[17,] 0.80   14   82 0.17073171  -17810 -217.19512
[18,] 0.85   13   75 0.17333333  -14680 -195.73333
[19,] 0.90   15   70 0.21428571   -1300  -18.57143
[20,] 0.95   11   64 0.17187500  -13990 -218.59375
[21,] 1.00   24  135 0.17777778  -21210 -157.11111
[22,] 1.10   21  121 0.17355372  -16320 -134.87603
[23,] 1.20   32  121 0.26446281    1740   14.38017
[24,] 1.30   14  100 0.14000000  -22220 -222.20000
[25,] 1.40   10   93 0.10752688  -31010 -333.44086
[26,] 1.50   11   66 0.16666667  -10600 -160.60606
[27,] 1.60   10   54 0.18518519   -6680 -123.70370
[28,] 1.70    8   48 0.16666667  -10580 -220.41667
[29,] 1.80    4   48 0.08333333  -15590 -324.79167
[30,] 1.90    5   40 0.12500000  -11300 -282.50000
[31,] 2.00   13   75 0.17333333   -8470 -112.93333
[32,] 2.25    3   52 0.05769231  -20240 -389.23077
[33,] 2.50    4   35 0.11428571  -11010 -314.57143
[34,] 2.75    7   30 0.23333333   -1000  -33.33333
[35,] 3.00    1   26 0.03846154  -11220 -431.53846
[36,] 3.25    1   14 0.07142857   -6020 -430.00000
