[1] "R出力\\20170604_Tansho3_7_KISOfitted.txt"
[1] 421
[1] 57
[1] "<-----------10"
      [,1] [,2] [,3]      [,4]   [,5]      [,6] [,7] [,8] [,9]      [,10]
 [1,]    0    0    0 0.0000000      0   0.00000    0    0    0 0.00000000
 [2,]    1    1    4 0.2500000    760 190.00000    1    0    0 0.00000000
 [3,]    2   18   73 0.2465753   6420  87.94521    2    1   12 0.08333333
 [4,]    3  109  441 0.2471655  28240  64.03628    3   13   64 0.20312500
 [5,]    4  145  643 0.2255054 -36470 -56.71851    4   20   81 0.24691358
 [6,]    5   94  373 0.2520107 -23300 -62.46649    5   16   42 0.38095238
 [7,]    6   51  116 0.4396552   5000  43.10345    6    7   14 0.50000000
 [8,]    7    3    8 0.3750000    180  22.50000    7    0    0 0.00000000
 [9,]    8    0    0 0.0000000      0   0.00000    8    0    0 0.00000000
[10,]    9    0    0 0.0000000      0   0.00000    9    0    0 0.00000000
[11,]   10    0    0 0.0000000      0   0.00000   10    0    0 0.00000000
[12,]   11    0    0 0.0000000      0   0.00000   11    0    0 0.00000000
[13,]   12    0    0 0.0000000      0   0.00000   12    0    0 0.00000000
[1] "<-----------20"
      [,1] [,2] [,3]      [,4]   [,5]      [,6] [,7] [,8] [,9]     [,10]
 [1,]    0    0    0 0.0000000      0   0.00000    0    0    0 0.0000000
 [2,]    1    0    0 0.0000000      0   0.00000    1    0    0 0.0000000
 [3,]    2    0    0 0.0000000      0   0.00000    2    0    0 0.0000000
 [4,]    3    4   15 0.2666667   3760 250.66667    3    1    4 0.2500000
 [5,]    4   26  121 0.2148760  16950 140.08264    4    3   17 0.1764706
 [6,]    5   88  400 0.2200000 -11080 -27.70000    5   12   50 0.2400000
 [7,]    6  114  461 0.2472885 -15790 -34.25163    6   14   61 0.2295082
 [8,]    7  111  398 0.2788945 -11110 -27.91457    7   16   48 0.3333333
 [9,]    8   59  203 0.2906404  -4530 -22.31527    8    8   26 0.3076923
[10,]    9   15   50 0.3000000    820  16.40000    9    2    6 0.3333333
[11,]   10    3    9 0.3333333    830  92.22222   10    1    1 1.0000000
[12,]   11    1    1 1.0000000    980 980.00000   11    0    0 0.0000000
[13,]   12    0    0 0.0000000      0   0.00000   12    0    0 0.0000000
[1] "<-----------30"
      [,1] [,2] [,3]      [,4]   [,5]       [,6] [,7] [,8] [,9]      [,10]
 [1,]    0    0    0 0.0000000      0   0.000000    0    0    0 0.00000000
 [2,]    1    0    0 0.0000000      0   0.000000    1    0    0 0.00000000
 [3,]    2    0    0 0.0000000      0   0.000000    2    0    0 0.00000000
 [4,]    3    0    0 0.0000000      0   0.000000    3    0    0 0.00000000
 [5,]    4    3   15 0.2000000   3530 235.333333    4    1    3 0.33333333
 [6,]    5   22  127 0.1732283    790   6.220472    5    2   15 0.13333333
 [7,]    6   70  303 0.2310231  -7710 -25.445545    6   10   38 0.26315789
 [8,]    7  128  476 0.2689076   6990  14.684874    7   11   61 0.18032787
 [9,]    8  108  392 0.2755102 -10610 -27.066327    8   18   48 0.37500000
[10,]    9   62  229 0.2707424  -7570 -33.056769    9   12   32 0.37500000
[11,]   10   18   81 0.2222222  -6690 -82.592593   10    1   12 0.08333333
[12,]   11    8   31 0.2580645  -1690 -54.516129   11    2    4 0.50000000
[13,]   12    2    4 0.5000000   3790 947.500000   12    0    0 0.00000000
[1] "<-----------50"
      [,1] [,2] [,3]      [,4]   [,5]        [,6] [,7] [,8] [,9]     [,10]
 [1,]    0   28   77 0.3636364   2170   28.181818    0    2    5 0.4000000
 [2,]    1   62  265 0.2339623 -17910  -67.584906    1   12   42 0.2857143
 [3,]    2  103  411 0.2506083  -7100  -17.274939    2   12   47 0.2553191
 [4,]    3  119  443 0.2686230   3530    7.968397    3   16   65 0.2461538
 [5,]    4   75  295 0.2542373   7000   23.728814    4    7   32 0.2187500
 [6,]    5   28  129 0.2170543  -2820  -21.860465    5    5   16 0.3125000
 [7,]    6    6   33 0.1818182  -2540  -76.969697    6    3    6 0.5000000
 [8,]    7    0    4 0.0000000  -1200 -300.000000    7    0    0 0.0000000
 [9,]    8    0    1 0.0000000   -300 -300.000000    8    0    0 0.0000000
[10,]    9    0    0 0.0000000      0    0.000000    9    0    0 0.0000000
[11,]   10    0    0 0.0000000      0    0.000000   10    0    0 0.0000000
[12,]   11    0    0 0.0000000      0    0.000000   11    0    0 0.0000000
[13,]   12    0    0 0.0000000      0    0.000000   12    0    0 0.0000000
[1] "<-----------70"
      [,1] [,2] [,3]      [,4]   [,5]        [,6] [,7] [,8] [,9]     [,10]
 [1,]    0   61  211 0.2890995  -4960  -23.507109    0    7   30 0.2333333
 [2,]    1  135  482 0.2800830   7680   15.933610    1   19   60 0.3166667
 [3,]    2  118  458 0.2576419  -3360   -7.336245    2   18   67 0.2686567
 [4,]    3   61  315 0.1936508 -16060  -50.984127    3    6   34 0.1764706
 [5,]    4   34  142 0.2394366  -1120   -7.887324    4    3   15 0.2000000
 [6,]    5   12   45 0.2666667    150    3.333333    5    4    7 0.5714286
 [7,]    6    0    4 0.0000000  -1200 -300.000000    6    0    0 0.0000000
 [8,]    7    0    0 0.0000000      0    0.000000    7    0    0 0.0000000
 [9,]    8    0    1 0.0000000   -300 -300.000000    8    0    0 0.0000000
[10,]    9    0    0 0.0000000      0    0.000000    9    0    0 0.0000000
[11,]   10    0    0 0.0000000      0    0.000000   10    0    0 0.0000000
[12,]   11    0    0 0.0000000      0    0.000000   11    0    0 0.0000000
[13,]   12    0    0 0.0000000      0    0.000000   12    0    0 0.0000000
[1] "<-----------100"
      [,1] [,2] [,3]      [,4]   [,5]         [,6] [,7] [,8] [,9]     [,10]
 [1,]    0  149  567 0.2627866 -16420  -28.9594356    0   20   80 0.2500000
 [2,]    1  143  558 0.2562724    170    0.3046595    1   23   65 0.3538462
 [3,]    2   74  317 0.2334385  -4770  -15.0473186    2    5   50 0.1000000
 [4,]    3   42  170 0.2470588   -790   -4.6470588    3    4   11 0.3636364
 [5,]    4   11   38 0.2894737   3570   93.9473684    4    5    6 0.8333333
 [6,]    5    2    8 0.2500000   -930 -116.2500000    5    0    1 0.0000000
 [7,]    6    0    0 0.0000000      0    0.0000000    6    0    0 0.0000000
 [8,]    7    0    0 0.0000000      0    0.0000000    7    0    0 0.0000000
 [9,]    8    0    0 0.0000000      0    0.0000000    8    0    0 0.0000000
[10,]    9    0    0 0.0000000      0    0.0000000    9    0    0 0.0000000
[11,]   10    0    0 0.0000000      0    0.0000000   10    0    0 0.0000000
[12,]   11    0    0 0.0000000      0    0.0000000   11    0    0 0.0000000
[13,]   12    0    0 0.0000000      0    0.0000000   12    0    0 0.0000000
[1] "<-----------馬複人気順1番   開始範囲:終了範囲=0:35   倍率=0.4倍"
      [,1] [,2] [,3]      [,4]  [,5]        [,6] [,7] [,8] [,9]     [,10]
 [1,]    0    0    0 0.0000000     0    0.000000    0    0    0 0.0000000
 [2,]    1    0    0 0.0000000     0    0.000000    1    0    0 0.0000000
 [3,]    2    0    0 0.0000000     0    0.000000    2    0    0 0.0000000
 [4,]    3    0    0 0.0000000     0    0.000000    3    0    0 0.0000000
 [5,]    4    0    0 0.0000000     0    0.000000    4    0    0 0.0000000
 [6,]    5    0    0 0.0000000     0    0.000000    5    0    0 0.0000000
 [7,]    6    8   58 0.1379310 -3150  -54.310345    6    0    5 0.0000000
 [8,]    7   17   89 0.1910112  5610   63.033708    7    2   14 0.1428571
 [9,]    8   28  116 0.2413793  2410   20.775862    8    5   13 0.3846154
[10,]    9   38  152 0.2500000  5120   33.684211    9    6   23 0.2608696
[11,]   10   28  151 0.1854305 -4770  -31.589404   10    3   14 0.2142857
[12,]   11   44  198 0.2222222 -6360  -32.121212   11    6   25 0.2400000
[13,]   12   31  125 0.2480000 -4650  -37.200000   12    4   19 0.2105263
[14,]   13   45  165 0.2727273  2460   14.909091   13    4   22 0.1818182
[15,]   14   27  104 0.2596154 -4900  -47.115385   14    2   12 0.1666667
[16,]   15   40  111 0.3603604  5790   52.162162   15    4   16 0.2500000
[17,]   16   33  116 0.2844828 -1010   -8.706897   16    6   15 0.4000000
[18,]   17   23   75 0.3066667 -4020  -53.600000   17    5   14 0.3571429
[19,]   18   25   68 0.3676471  -360   -5.294118   18    6    9 0.6666667
[20,]   19   11   35 0.3142857 -2800  -80.000000   19    2    2 1.0000000
[21,]   20    6   31 0.1935484 -5060 -163.225806   20    1    4 0.2500000
[22,]   21    3   28 0.1071429 -5380 -192.142857   21    0    6 0.0000000
[23,]   22    6   28 0.2142857 -3100 -110.714286   22    0    1 0.0000000
[24,]   23    9   23 0.3913043 -1200  -52.173913   23    2    4 0.5000000
[25,]   24    5   12 0.4166667   860   71.666667   24    0    0 0.0000000
[26,]   25    3    7 0.4285714   110   15.714286   25    0    1 0.0000000
[27,]   26    4   11 0.3636364  -510  -46.363636   26    0    0 0.0000000
[28,]   27    4    8 0.5000000  2950  368.750000   27    1    2 0.5000000
[29,]   28    0    3 0.0000000  -900 -300.000000   28    0    1 0.0000000
[30,]   29    1    5 0.2000000  -510 -102.000000   29    1    1 1.0000000
[31,]   30    1    1 1.0000000   320  320.000000   30    1    1 1.0000000
[32,]   31    2    3 0.6666667   770  256.666667   31    0    0 0.0000000
[33,]   32    0    2 0.0000000  -600 -300.000000   32    0    0 0.0000000
[34,]   33    1    2 0.5000000   110   55.000000   33    0    0 0.0000000
[35,]   34    0    0 0.0000000     0    0.000000   34    0    0 0.0000000
[1] "<-----------馬複人気順2番   開始範囲:終了範囲=0:50   倍率=0.5倍"
      [,1] [,2] [,3]       [,4]  [,5]        [,6] [,7] [,8] [,9]     [,10]
 [1,]    0    0    0 0.00000000     0    0.000000    0    0    0 0.0000000
 [2,]    1    0    0 0.00000000     0    0.000000    1    0    0 0.0000000
 [3,]    2    0    0 0.00000000     0    0.000000    2    0    0 0.0000000
 [4,]    3    0    0 0.00000000     0    0.000000    3    0    0 0.0000000
 [5,]    4    0    0 0.00000000     0    0.000000    4    0    0 0.0000000
 [6,]    5    0    0 0.00000000     0    0.000000    5    0    0 0.0000000
 [7,]    6    0    0 0.00000000     0    0.000000    6    0    0 0.0000000
 [8,]    7    1   12 0.08333333 -2900 -241.666667    7    0    2 0.0000000
 [9,]    8    5   39 0.12820513 -3330  -85.384615    8    1    4 0.2500000
[10,]    9   23   98 0.23469388  7490   76.428571    9    4   15 0.2666667
[11,]   10   25  121 0.20661157   850    7.024793   10    3   11 0.2727273
[12,]   11   26  154 0.16883117 -8950  -58.116883   11    3   17 0.1764706
[13,]   12   42  162 0.25925926 -1760  -10.864198   12    5   22 0.2272727
