[1] "<-----------1"
      [,1] [,2] [,3]      [,4]    [,5]        [,6]
 [1,] 0.00 1341 3492 0.3840206 -193640  -55.452463
 [2,] 0.05    0    0 0.0000000       0    0.000000
 [3,] 0.10    0    0 0.0000000       0    0.000000
 [4,] 0.15    1    1 1.0000000      40   40.000000
 [5,] 0.20    0    0 0.0000000       0    0.000000
 [6,] 0.25    0    0 0.0000000       0    0.000000
 [7,] 0.30    0    0 0.0000000       0    0.000000
 [8,] 0.35    0    0 0.0000000       0    0.000000
 [9,] 0.40    0    0 0.0000000       0    0.000000
[10,] 0.45    1    1 1.0000000     130  130.000000
[11,] 0.50    0    0 0.0000000       0    0.000000
[12,] 0.55    0    0 0.0000000       0    0.000000
[13,] 0.60    0    0 0.0000000       0    0.000000
[14,] 0.65    0    0 0.0000000       0    0.000000
[15,] 0.70    1    3 0.3333333     170   56.666667
[16,] 0.75    1    4 0.2500000     160   40.000000
[17,] 0.80    2    8 0.2500000    -830 -103.750000
[18,] 0.85    3    6 0.5000000     700  116.666667
[19,] 0.90    9   22 0.4090909   -1090  -49.545455
[20,] 0.95    1    9 0.1111111   -1180 -131.111111
[21,] 1.00   31   79 0.3924051    -120   -1.518987
[22,] 1.10   28   80 0.3500000   -4850  -60.625000
[23,] 1.20   30   86 0.3488372   -2740  -31.860465
[24,] 1.30   17   70 0.2428571   -5540  -79.142857
[25,] 1.40   31   77 0.4025974   -2640  -34.285714
[26,] 1.50   24   66 0.3636364   -3600  -54.545455
[27,] 1.60   13   54 0.2407407   -4540  -84.074074
[28,] 1.70   10   39 0.2564103   -2800  -71.794872
[29,] 1.80   14   29 0.4827586     570   19.655172
[30,] 1.90   10   31 0.3225806    -420  -13.548387
[31,] 2.00   28   67 0.4179104   -1190  -17.761194
[32,] 2.25    9   28 0.3214286   -1390  -49.642857
[33,] 2.50    6   19 0.3157895   -1530  -80.526316
[34,] 2.75   11   22 0.5000000     970   44.090909
[35,] 3.00    4   14 0.2857143   -1140  -81.428571
[36,] 3.25    2    7 0.2857143    -610  -87.142857
[37,] 3.50    1    2 0.5000000     -10   -5.000000
[38,] 3.75    1    2 0.5000000     170   85.000000
[39,] 4.00    0    3 0.0000000    -600 -200.000000
[40,] 4.25    1    2 0.5000000    -190  -95.000000
[1] "<-----------2"
      [,1] [,2] [,3]      [,4]    [,5]        [,6]
 [1,] 0.00 1018 2519 0.4041286 -131110  -52.048432
 [2,] 0.05    0    0 0.0000000       0    0.000000
 [3,] 0.10    0    0 0.0000000       0    0.000000
 [4,] 0.15    1    1 1.0000000      10   10.000000
 [5,] 0.20    0    3 0.0000000    -600 -200.000000
 [6,] 0.25    2    6 0.3333333    -820 -136.666667
 [7,] 0.30    3   10 0.3000000   -1300 -130.000000
 [8,] 0.35    6   15 0.4000000   -1270  -84.666667
 [9,] 0.40   13   24 0.5416667     550   22.916667
[10,] 0.45   14   29 0.4827586     200    6.896552
[11,] 0.50   22   56 0.3928571   -3190  -56.964286
[12,] 0.55   26   63 0.4126984   -1820  -28.888889
[13,] 0.60   17   69 0.2463768   -5580  -80.869565
[14,] 0.65   40   93 0.4301075   -2610  -28.064516
[15,] 0.70   32   95 0.3368421   -6380  -67.157895
[16,] 0.75   27   71 0.3802817   -1190  -16.760563
[17,] 0.80   21   69 0.3043478   -6040  -87.536232
[18,] 0.85   21   74 0.2837838   -5780  -78.108108
[19,] 0.90   16   68 0.2352941   -5030  -73.970588
[20,] 0.95   23   55 0.4181818     330    6.000000
[21,] 1.00   41  139 0.2949640   -7340  -52.805755
[22,] 1.10   45  133 0.3383459   -6000  -45.112782
